,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,Address,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
50006132,NUEVA EL RINCON,MANHATTAN,1047,SAINT NICHOLAS AVENUE,10032,2125433587,Spanish,10/15/2014,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,"1047 SAINT NICHOLAS AVENUE, New York City, NY 10032",47,C,10/15/2014,11/14/2014,Cycle Inspection / Re-inspection
41573063,NISSI'S,MANHATTAN,12,EAST 44 STREET,10017,2126974444,American,4/11/2012,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"12 EAST 44 STREET, New York City, NY 10017",47,C,4/11/2012,11/14/2014,Cycle Inspection / Re-inspection
40700664,PHO BANG RESTAURANT,MANHATTAN,157,MOTT STREET,10013,2129663797,Vietnamese/Cambodian/Malaysia,5/14/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","157 MOTT STREET, New York City, NY 10013",47,C,5/14/2014,11/14/2014,Cycle Inspection / Re-inspection
41548106,GREENSQUARE TAVERN,MANHATTAN,5,WEST   21 STREET,10010,2129292468,American,3/1/2013,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,"5 WEST   21 STREET, New York City, NY 10010",47,C,3/1/2013,11/14/2014,Cycle Inspection / Re-inspection
41457023,CASA MEZCAL,MANHATTAN,86,ORCHARD STREET,10002,2127772600,Mexican,10/29/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"86 ORCHARD STREET, New York City, NY 10002",47,C,10/29/2013,11/14/2014,Cycle Inspection / Re-inspection
41024190,CROCODILE LOUNGE,MANHATTAN,325,EAST   14 STREET,10003,2124777747,Pizza,6/6/2012,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","325 EAST   14 STREET, New York City, NY 10003",47,C,6/6/2012,11/14/2014,Cycle Inspection / Re-inspection
41241694,EL NUEVO AMANECER RESTAURANT,MANHATTAN,3666,BROADWAY,10031,2128629280,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/15/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"3666 BROADWAY, New York City, NY 10031",47,C,11/15/2011,11/14/2014,Cycle Inspection / Re-inspection
41573063,NISSI'S,MANHATTAN,12,EAST 44 STREET,10017,2126974444,American,4/11/2012,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","12 EAST 44 STREET, New York City, NY 10017",47,C,4/11/2012,11/14/2014,Cycle Inspection / Re-inspection
41241694,EL NUEVO AMANECER RESTAURANT,MANHATTAN,3666,BROADWAY,10031,2128629280,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/15/2011,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","3666 BROADWAY, New York City, NY 10031",47,C,11/15/2011,11/14/2014,Cycle Inspection / Re-inspection
41683783,BAMBOO RESTAURANT,MANHATTAN,30,MARKET STREET,10002,2122330383,Chinese,7/10/2014,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,"30 MARKET STREET, New York City, NY 10002",47,C,7/10/2014,11/14/2014,Cycle Inspection / Re-inspection
40864145,TIMES DELI & CAFE,MANHATTAN,158,WEST 44 STREET,10036,2129441234,Delicatessen,3/12/2014,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","158 WEST 44 STREET, New York City, NY 10036",47,C,3/12/2014,11/14/2014,Cycle Inspection / Re-inspection
50002472,AIKO SUSHI JAPANESE RESTAURANT (JINSHU SUSHI),MANHATTAN,164,PEARL STREET,10005,2123610028,Japanese,1/8/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","164 PEARL STREET, New York City, NY 10005",47,C,1/8/2014,11/14/2014,Pre-permit (Operational) / Re-inspection
41241694,EL NUEVO AMANECER RESTAURANT,MANHATTAN,3666,BROADWAY,10031,2128629280,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/15/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","3666 BROADWAY, New York City, NY 10031",47,C,11/15/2011,11/14/2014,Cycle Inspection / Re-inspection
41241694,EL NUEVO AMANECER RESTAURANT,MANHATTAN,3666,BROADWAY,10031,2128629280,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/15/2011,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.","3666 BROADWAY, New York City, NY 10031",47,C,11/15/2011,11/14/2014,Cycle Inspection / Re-inspection
41584771,GRAND SICHUAN EASTERN,MANHATTAN,172,8 AVENUE,10011,2122431688,Chinese,2/2/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"172 8 AVENUE, New York City, NY 10011",47,C,2/2/2012,11/14/2014,Cycle Inspection / Re-inspection
41589689,CAFE CON LECHE,MANHATTAN,424,AMSTERDAM AVENUE,10024,2125957000,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/5/2012,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"424 AMSTERDAM AVENUE, New York City, NY 10024",47,C,12/5/2012,11/14/2014,Cycle Inspection / Re-inspection
41490282,LE PARISIEN,MANHATTAN,163,EAST   33 STREET,10016,2128895489,French,4/21/2014,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,"163 EAST   33 STREET, New York City, NY 10016",48,C,4/21/2014,11/14/2014,Cycle Inspection / Re-inspection
41317790,NICE GREEN BO RESTAURANT,MANHATTAN,66,BAYARD STREET,10013,2126252359,Chinese,8/8/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","66 BAYARD STREET, New York City, NY 10013",48,C,8/8/2014,11/14/2014,Cycle Inspection / Re-inspection
40401834,COLUMBUS GOURMET FOOD,MANHATTAN,261,COLUMBUS AVE STORE #2,10023,2127217800,American,11/19/2012,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","261 COLUMBUS AVE STORE #2, New York City, NY 10023",48,C,11/19/2012,11/14/2014,Cycle Inspection / Re-inspection
41583460,HARDING'S,MANHATTAN,32,EAST   21 STREET,10010,2126002105,American,7/10/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"32 EAST   21 STREET, New York City, NY 10010",48,C,7/10/2014,11/14/2014,Cycle Inspection / Re-inspection
41583460,HARDING'S,MANHATTAN,32,EAST   21 STREET,10010,2126002105,American,7/10/2014,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,"32 EAST   21 STREET, New York City, NY 10010",48,C,7/10/2014,11/14/2014,Cycle Inspection / Re-inspection
41231957,DIECI,MANHATTAN,228,EAST 10 STREET,10003,2123879545,Japanese,2/14/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"228 EAST 10 STREET, New York City, NY 10003",48,C,2/14/2012,11/14/2014,Cycle Inspection / Re-inspection
40401834,COLUMBUS GOURMET FOOD,MANHATTAN,261,COLUMBUS AVE STORE #2,10023,2127217800,American,11/19/2012,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,"261 COLUMBUS AVE STORE #2, New York City, NY 10023",48,C,11/19/2012,11/14/2014,Cycle Inspection / Re-inspection
41712283,MANON,MANHATTAN,407,WEST 14 STREET,10014,2125967255,American,4/22/2014,Violations were cited in the following area(s).,06I,Food not labeled in accordance with HACCP plan.,"407 WEST 14 STREET, New York City, NY 10014",48,C,4/22/2014,11/14/2014,Cycle Inspection / Re-inspection
41712283,MANON,MANHATTAN,407,WEST 14 STREET,10014,2125967255,American,4/22/2014,Violations were cited in the following area(s).,06G,HACCP plan not approved or approved HACCP plan not maintained on premises.,"407 WEST 14 STREET, New York City, NY 10014",48,C,4/22/2014,11/14/2014,Cycle Inspection / Re-inspection
40812483,SUSHI DAMO,MANHATTAN,330,WEST 58 STREET,10019,2127078609,Japanese,10/17/2013,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","330 WEST 58 STREET, New York City, NY 10019",48,C,10/17/2013,11/14/2014,Cycle Inspection / Re-inspection
41400575,SPICE,MANHATTAN,77,4 AVENUE,10003,2123889006,Thai,4/22/2013,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","77 4 AVENUE, New York City, NY 10003",48,C,4/22/2013,11/14/2014,Cycle Inspection / Re-inspection
40812483,SUSHI DAMO,MANHATTAN,330,WEST 58 STREET,10019,2127078609,Japanese,10/17/2013,Violations were cited in the following area(s).,03B,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.","330 WEST 58 STREET, New York City, NY 10019",48,C,10/17/2013,11/14/2014,Cycle Inspection / Re-inspection
40812483,SUSHI DAMO,MANHATTAN,330,WEST 58 STREET,10019,2127078609,Japanese,10/17/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"330 WEST 58 STREET, New York City, NY 10019",48,C,10/17/2013,11/14/2014,Cycle Inspection / Re-inspection
41299367,ORO BAKERY AND BAR,MANHATTAN,375,BROOME STREET,10013,2129416368,Bakery,4/17/2012,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"375 BROOME STREET, New York City, NY 10013",48,C,4/17/2012,11/14/2014,Cycle Inspection / Re-inspection
41712283,MANON,MANHATTAN,407,WEST 14 STREET,10014,2125967255,American,4/22/2014,Violations were cited in the following area(s).,06H,Records and logs not maintained to demonstrate that HACCP plan has been properly implemented.,"407 WEST 14 STREET, New York City, NY 10014",48,C,4/22/2014,11/14/2014,Cycle Inspection / Re-inspection
40424337,BAGEL WORKS,MANHATTAN,1229,FIRST AVENUE,10065,2127446444,Bagels/Pretzels,11/4/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","1229 FIRST AVENUE, New York City, NY 10065",48,C,11/4/2011,11/14/2014,Cycle Inspection / Re-inspection
40424337,BAGEL WORKS,MANHATTAN,1229,FIRST AVENUE,10065,2127446444,Bagels/Pretzels,11/4/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"1229 FIRST AVENUE, New York City, NY 10065",48,C,11/4/2011,11/14/2014,Cycle Inspection / Re-inspection
41564898,MCDONALDS,MANHATTAN,688,8 AVENUE,10036,2122213863,Hamburgers,8/5/2014,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","688 8 AVENUE, New York City, NY 10036",48,C,8/5/2014,11/14/2014,Cycle Inspection / Re-inspection
41583460,HARDING'S,MANHATTAN,32,EAST   21 STREET,10010,2126002105,American,7/10/2014,Violations were cited in the following area(s).,04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.","32 EAST   21 STREET, New York City, NY 10010",48,C,7/10/2014,11/14/2014,Cycle Inspection / Re-inspection
41317790,NICE GREEN BO RESTAURANT,MANHATTAN,66,BAYARD STREET,10013,2126252359,Chinese,8/8/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,"66 BAYARD STREET, New York City, NY 10013",48,C,8/8/2014,11/14/2014,Cycle Inspection / Re-inspection
41299367,ORO BAKERY AND BAR,MANHATTAN,375,BROOME STREET,10013,2129416368,Bakery,4/17/2012,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","375 BROOME STREET, New York City, NY 10013",48,C,4/17/2012,11/14/2014,Cycle Inspection / Re-inspection
41400575,SPICE,MANHATTAN,77,4 AVENUE,10003,2123889006,Thai,4/22/2013,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,"77 4 AVENUE, New York City, NY 10003",48,C,4/22/2013,11/14/2014,Cycle Inspection / Re-inspection
41420491,ROSSETTI'S PIZZA,MANHATTAN,114,6 AVENUE,10013,2129667178,Pizza,12/23/2011,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","114 6 AVENUE, New York City, NY 10013",48,C,12/23/2011,11/14/2014,Cycle Inspection / Re-inspection
41420491,ROSSETTI'S PIZZA,MANHATTAN,114,6 AVENUE,10013,2129667178,Pizza,12/23/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"114 6 AVENUE, New York City, NY 10013",48,C,12/23/2011,11/14/2014,Cycle Inspection / Re-inspection
41420491,ROSSETTI'S PIZZA,MANHATTAN,114,6 AVENUE,10013,2129667178,Pizza,12/23/2011,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","114 6 AVENUE, New York City, NY 10013",48,C,12/23/2011,11/14/2014,Cycle Inspection / Re-inspection
41473636,HECHO EN DUMBO,MANHATTAN,354,BOWERY,10012,2129374245,Mexican,7/21/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","354 BOWERY, New York City, NY 10012",48,C,7/21/2011,11/14/2014,Cycle Inspection / Re-inspection
41420491,ROSSETTI'S PIZZA,MANHATTAN,114,6 AVENUE,10013,2129667178,Pizza,12/23/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","114 6 AVENUE, New York City, NY 10013",48,C,12/23/2011,11/14/2014,Cycle Inspection / Re-inspection
40365423,REYNOLD'S BAR,MANHATTAN,4241,BROADWAY,10033,2129238927,American,1/30/2012,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","4241 BROADWAY, New York City, NY 10033",48,C,1/30/2012,11/14/2014,Cycle Inspection / Re-inspection
41473636,HECHO EN DUMBO,MANHATTAN,354,BOWERY,10012,2129374245,Mexican,7/21/2011,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","354 BOWERY, New York City, NY 10012",48,C,7/21/2011,11/14/2014,Cycle Inspection / Re-inspection
40396183,HI FI,MANHATTAN,169,AVENUE A,10009,2124208392,American,6/12/2012,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","169 AVENUE A, New York City, NY 10009",48,C,6/12/2012,11/14/2014,Cycle Inspection / Re-inspection
41231957,DIECI,MANHATTAN,228,EAST 10 STREET,10003,2123879545,Japanese,2/14/2012,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","228 EAST 10 STREET, New York City, NY 10003",48,C,2/14/2012,11/14/2014,Cycle Inspection / Re-inspection
41481803,MARYANN'S,MANHATTAN,353,GREENWICH STREET,10013,2127660911,Mexican,2/27/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","353 GREENWICH STREET, New York City, NY 10013",48,C,2/27/2014,11/14/2014,Cycle Inspection / Re-inspection
41299367,ORO BAKERY AND BAR,MANHATTAN,375,BROOME STREET,10013,2129416368,Bakery,4/17/2012,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"375 BROOME STREET, New York City, NY 10013",48,C,4/17/2012,11/14/2014,Cycle Inspection / Re-inspection
40396183,HI FI,MANHATTAN,169,AVENUE A,10009,2124208392,American,6/12/2012,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","169 AVENUE A, New York City, NY 10009",48,C,6/12/2012,11/14/2014,Cycle Inspection / Re-inspection
41481803,MARYANN'S,MANHATTAN,353,GREENWICH STREET,10013,2127660911,Mexican,2/27/2014,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,"353 GREENWICH STREET, New York City, NY 10013",48,C,2/27/2014,11/14/2014,Cycle Inspection / Re-inspection
41481803,MARYANN'S,MANHATTAN,353,GREENWICH STREET,10013,2127660911,Mexican,2/27/2014,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,"353 GREENWICH STREET, New York City, NY 10013",48,C,2/27/2014,11/14/2014,Cycle Inspection / Re-inspection
41564898,MCDONALDS,MANHATTAN,688,8 AVENUE,10036,2122213863,Hamburgers,8/5/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"688 8 AVENUE, New York City, NY 10036",48,C,8/5/2014,11/14/2014,Cycle Inspection / Re-inspection
41564898,MCDONALDS,MANHATTAN,688,8 AVENUE,10036,2122213863,Hamburgers,8/5/2014,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","688 8 AVENUE, New York City, NY 10036",48,C,8/5/2014,11/14/2014,Cycle Inspection / Re-inspection
41317790,NICE GREEN BO RESTAURANT,MANHATTAN,66,BAYARD STREET,10013,2126252359,Chinese,8/8/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"66 BAYARD STREET, New York City, NY 10013",48,C,8/8/2014,11/14/2014,Cycle Inspection / Re-inspection
41564898,MCDONALDS,MANHATTAN,688,8 AVENUE,10036,2122213863,Hamburgers,8/5/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility�s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.","688 8 AVENUE, New York City, NY 10036",48,C,8/5/2014,11/14/2014,Cycle Inspection / Re-inspection
41583460,HARDING'S,MANHATTAN,32,EAST   21 STREET,10010,2126002105,American,7/10/2014,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,"32 EAST   21 STREET, New York City, NY 10010",48,C,7/10/2014,11/14/2014,Cycle Inspection / Re-inspection
41583460,HARDING'S,MANHATTAN,32,EAST   21 STREET,10010,2126002105,American,7/10/2014,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","32 EAST   21 STREET, New York City, NY 10010",48,C,7/10/2014,11/14/2014,Cycle Inspection / Re-inspection
41490282,LE PARISIEN,MANHATTAN,163,EAST   33 STREET,10016,2128895489,French,4/21/2014,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,"163 EAST   33 STREET, New York City, NY 10016",48,C,4/21/2014,11/14/2014,Cycle Inspection / Re-inspection
40812483,SUSHI DAMO,MANHATTAN,330,WEST 58 STREET,10019,2127078609,Japanese,10/17/2013,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,"330 WEST 58 STREET, New York City, NY 10019",48,C,10/17/2013,11/14/2014,Cycle Inspection / Re-inspection
40365423,REYNOLD'S BAR,MANHATTAN,4241,BROADWAY,10033,2129238927,American,1/30/2012,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,"4241 BROADWAY, New York City, NY 10033",48,C,1/30/2012,11/14/2014,Cycle Inspection / Re-inspection
40365423,REYNOLD'S BAR,MANHATTAN,4241,BROADWAY,10033,2129238927,American,1/30/2012,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,"4241 BROADWAY, New York City, NY 10033",48,C,1/30/2012,11/14/2014,Cycle Inspection / Re-inspection
40369461,CAFE UN DEUX TROIS,MANHATTAN,123,WEST   44 STREET,10036,2123544148,French,7/30/2013,Violations were cited in the following area(s).,02A,Food not cooked to required minimum temperature.,"123 WEST   44 STREET, New York City, NY 10036",48,C,7/30/2013,11/14/2014,Cycle Inspection / Re-inspection
41317790,NICE GREEN BO RESTAURANT,MANHATTAN,66,BAYARD STREET,10013,2126252359,Chinese,8/8/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","66 BAYARD STREET, New York City, NY 10013",48,C,8/8/2014,11/14/2014,Cycle Inspection / Re-inspection
41343720,LA MINITA RESTAURANT,MANHATTAN,3855,10 AVENUE,10034,2125690777,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7/3/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,"3855 10 AVENUE, New York City, NY 10034",48,C,7/3/2014,11/14/2014,Cycle Inspection / Re-inspection
40369461,CAFE UN DEUX TROIS,MANHATTAN,123,WEST   44 STREET,10036,2123544148,French,7/30/2013,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,"123 WEST   44 STREET, New York City, NY 10036",48,C,7/30/2013,11/14/2014,Cycle Inspection / Re-inspection
40369461,CAFE UN DEUX TROIS,MANHATTAN,123,WEST   44 STREET,10036,2123544148,French,7/30/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"123 WEST   44 STREET, New York City, NY 10036",48,C,7/30/2013,11/14/2014,Cycle Inspection / Re-inspection
41231957,DIECI,MANHATTAN,228,EAST 10 STREET,10003,2123879545,Japanese,2/14/2012,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,"228 EAST 10 STREET, New York City, NY 10003",48,C,2/14/2012,11/14/2014,Cycle Inspection / Re-inspection
40369461,CAFE UN DEUX TROIS,MANHATTAN,123,WEST   44 STREET,10036,2123544148,French,7/30/2013,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.","123 WEST   44 STREET, New York City, NY 10036",48,C,7/30/2013,11/14/2014,Cycle Inspection / Re-inspection
41094546,PEOPLES CHOICE KITCHEN,MANHATTAN,2733,8 AVENUE,10039,2122813830,Caribbean,9/10/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,"2733 8 AVENUE, New York City, NY 10039",48,C,9/10/2013,11/14/2014,Cycle Inspection / Re-inspection
40369461,CAFE UN DEUX TROIS,MANHATTAN,123,WEST   44 STREET,10036,2123544148,French,7/30/2013,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.","123 WEST   44 STREET, New York City, NY 10036",48,C,7/30/2013,11/14/2014,Cycle Inspection / Re-inspection
40396183,HI FI,MANHATTAN,169,AVENUE A,10009,2124208392,American,6/12/2012,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,"169 AVENUE A, New York City, NY 10009",48,C,6/12/2012,11/14/2014,Cycle Inspection / Re-inspection
40369461,CAFE UN DEUX TROIS,MANHATTAN,123,WEST   44 STREET,10036,2123544148,French,7/30/2013,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","123 WEST   44 STREET, New York City, NY 10036",48,C,7/30/2013,11/14/2014,Cycle Inspection / Re-inspection
41490282,LE PARISIEN,MANHATTAN,163,EAST   33 STREET,10016,2128895489,French,4/21/2014,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,"163 EAST   33 STREET, New York City, NY 10016",48,C,4/21/2014,11/14/2014,Cycle Inspection / Re-inspection
41583460,HARDING'S,MANHATTAN,32,EAST   21 STREET,10010,2126002105,American,7/10/2014,Violations were cited in the following area(s).,06G,HACCP plan not approved or approved HACCP plan not maintained on premises.,"32 EAST   21 STREET, New York City, NY 10010",48,C,7/10/2014,11/14/2014,Cycle Inspection / Re-inspection
40364304,TEXAS ROTISSERIE,MANHATTAN,94,FULTON STREET,10038,2125666666,Chicken,7/15/2014,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,"94 FULTON STREET, New York City, NY 10038",48,C,7/15/2014,11/14/2014,Cycle Inspection / Re-inspection
40364304,TEXAS ROTISSERIE,MANHATTAN,94,FULTON STREET,10038,2125666666,Chicken,7/15/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"94 FULTON STREET, New York City, NY 10038",48,C,7/15/2014,11/14/2014,Cycle Inspection / Re-inspection
40424337,BAGEL WORKS,MANHATTAN,1229,FIRST AVENUE,10065,2127446444,Bagels/Pretzels,11/4/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,"1229 FIRST AVENUE, New York City, NY 10065",48,C,11/4/2011,11/14/2014,Cycle Inspection / Re-inspection
